,1 and 40 - frame 0,1 and 40 - frame 1,1 and 40 - frame 2,1 and 40 - frame 3,1 and 40 - frame 4
molecule 140,-0.03603349659383158,-0.0389441853317904,-0.039690863955474054,-0.038570459303041024,-0.03862701398049197
molecule 141,-0.032154792411857286,-0.03231349162235218,-0.04019142768451775,-0.03844047542392234,-0.024655059350895278
molecule 142,1.03370708264563,1.1047617608023204,1.1530885011197398,1.1376878084752295,1.1008351479304228
molecule 143,0.020943527415613658,0.024718385736501276,0.026382857126855102,0.022885306395311465,0.017933444657941527
molecule 144,-0.37417791904782577,-0.5412811171431607,-0.5172058394327984,-0.34252999783756954,-0.30599943947640856
molecule 145,11.186985951368262,11.697832667287276,11.909826994483499,12.253553987288347,12.720460218320637
molecule 146,0.027899959337957733,0.022338676718590286,0.012904383675660519,0.004802780776446767,0.0015659481998965248
molecule 147,-4.353302094172463,-4.11019979301455,-3.7883837371802764,-3.4739293012846515,-3.309752246969005
molecule 148,-0.04625277792528026,-0.059744723403420866,-0.07215837597918642,-0.07310779334232129,-0.07104446542974292
molecule 149,0.0843283451110489,0.08463059569250447,0.08122624177540999,0.07476977270473077,0.07149622397277118
molecule 150,0.04964404206102501,0.049389342634230664,0.0493906460412377,0.05013191704978405,0.050192764355212
molecule 151,-0.24020956000555235,-0.22465889858273838,-0.2356786205508466,-0.22848692717942057,-0.1932831745307566
molecule 152,-0.2719170986130302,-0.2558000302946381,-0.2509394673543704,-0.2417996042233592,-0.22794008488642667
molecule 153,-0.01369859502427985,-0.012582156480333537,-0.012048636467190156,-0.012109935237026545,-0.01254095112437501
molecule 154,1.3417955998379112,1.3371771543507702,1.2842899856818535,1.2349213789838729,1.2096279290467682
molecule 155,-0.31153251995915204,-0.32607508007421093,-0.35049981746749637,-0.37064840648712677,-0.3813549128507234
molecule 156,-0.01231288128590297,-0.012264085719183521,-0.011771406205410303,-0.011143187434675416,-0.010601773472338602
molecule 157,-0.017171351035166982,-0.01723701562314184,-0.01800036202071188,-0.01895544722315139,-0.01938749250266595
molecule 158,-0.010548780260202487,0.00042112436361637544,0.004070760853703195,-0.005561207840018911,-0.01642215486800125
molecule 159,0.0046985957345963775,0.0034306897574974313,0.0024436844236628143,0.0016542743130376983,0.0008928434530760458
molecule 160,-4.083300479799251,-4.320204455355933,-4.6772540651832815,-4.73912562694905,-4.658777412992928
molecule 161,0.015888504081929385,0.007653236425524609,-0.004118602614454291,-0.012597838112374825,-0.010992023941424293
molecule 162,4.57165913811808,4.598539108324742,4.793343587855396,4.965681958352485,4.937491949951735
molecule 163,0.15999502433299947,0.15466695216519005,0.16433658538575888,0.1712948701573461,0.16678732200757626
molecule 164,-1.2875685880497882,-1.3480451772691409,-1.3534711185481392,-1.2897843494738637,-1.2459585862400473
molecule 165,-0.04377149455870253,-0.042473289400223095,-0.04347607698468611,-0.044444695698065216,-0.04382645165334405
molecule 166,1.8273597723701942,1.8963799307076106,1.926809560488837,1.9207473231787309,1.9148082915559494
molecule 167,0.8415588043087009,0.8162010477412224,0.7969377523978534,0.8039271707967699,0.8074965880160908
molecule 168,-0.04265203520895169,-0.03719524527470734,-0.02936298195042721,-0.03323994227628758,-0.03694050118929748
molecule 169,0.07315978246939442,0.05593224830502231,0.032631921701659336,0.013253337069254557,0.0011534505506647285
molecule 170,-1.9385879320986596,-2.1107205849310793,-2.3179766737676495,-2.419490288415937,-2.3956223112039536
molecule 171,0.17159230827504648,0.19747193156506468,0.21924425449544685,0.23562160113719732,0.25714829589023347
molecule 172,-0.10236949901010158,-0.1068445711262086,-0.10915623824054375,-0.11019156935744572,-0.11066119386170975
molecule 173,0.018100416074629224,0.020036799290272043,0.022383523811835667,0.023981880461871035,0.02437461081073184
molecule 174,1.2806079021171366,1.2467220090868791,1.2739002797470254,1.338021148954949,1.3645248529282394
molecule 175,-0.04262720213314521,-0.04389956379541918,-0.04314051582486476,-0.04193293331681894,-0.04182439489496353
molecule 176,0.01646233424218257,0.015691392461736613,0.014745084597418872,0.014076754470985248,0.014497251814186181
molecule 177,0.012183818711048445,0.01090700183910158,0.009555095794903715,0.009774355024073766,0.011972777497806193
molecule 178,-0.004877709798385173,-0.0034571792303196287,-0.003818499944062577,-0.0033959830109988676,-0.0012095530034530316
molecule 179,0.0070742202792466605,0.007406124319466553,0.006070221900002959,0.0004986732935862006,-0.005943172317638502
molecule 180,-0.006581977129752744,-0.006405263157372356,-0.0054136345405367756,-0.004795999819827139,-0.004693003141065603
molecule 181,0.13327596928324043,0.13214251965087856,0.12573313688936394,0.11911452067463635,0.11516750708512981
molecule 182,1.411726771433255,1.3716338287798775,1.3565700919518577,1.3818838085968752,1.4421431442868469
molecule 183,-0.00398585034817444,-0.009371477793460311,-0.015340635832260066,-0.020054223308093446,-0.023377216483657613
molecule 184,1.282636584587522,1.371046394115436,1.472487953930657,1.5271913602887242,1.5090390747238678
molecule 185,0.03246087225806977,0.031041426354585216,0.02413376190655607,0.022256089464432895,0.026052094479746
molecule 186,-1.1200158387568309,-1.3130979066406234,-1.383872240340523,-1.2628439489133136,-1.1409387986786028
molecule 187,0.07824966331445053,0.07222702531664167,0.06810703840319071,0.06225942100826194,0.05464444548307883
